ID,Cattle ID,BRD,Date/Collection,Ave.temp,Temp,Age,PenCode,MbPre_Abs,Mbovis_copies,Mbovis_RelAbunBacteria,PmPres_Abs,Pm_copies,Pm_RelAbunBacteria,HsPres_Abs,Hs_copies,Hs_RelAbunBacteria,MhPres_Abs,Mh_copies,Mh_RelAbunBacteria,16SPres_Abs,16S_copies,4bacteriaAbundance
Dairy58,Blue 62,BRD,11/18/20,40.08,105.2,0.58,1,1,484723.86,0.043178231,1,10741058.82,0.956792012,1,334.0585048,2.98E-05,0,0,0,1,7.24E+11,11226116.74
Dairy59,Blue 64,Healthy,11/18/20,40.08,102.5,0.58,3,1,16676.97,0.021225763,1,768791.96,0.978486838,1,225.8077328,0.000287399,1,34902.26,0.044422163,1,56280968.14,785694.7384
Dairy60,Blue 8,BRD,11/11/20,40,106.5,0.56,4,1,66752.19,0.767700276,1,19996.54,0.229975215,1,202.1135915,0.002324458,1,12856.17,0.147855602,1,2929162.17,86950.84798
Dairy61,Blue 86,Healthy,11/11/20,40,106.6,0.56,2,1,8996.85,0.008081778,1,1104030.7,0.991739494,1,198.9626287,0.000178726,1,328076.65,0.294707902,1,188202144.7,1113226.514
Dairy62,Green 905,Healthy,7/21/20,74,103.3,1.45,0,1,942491.32,0.240830302,1,2970771.4,0.759107016,1,245.3089065,6.27E-05,1,1360.88,0.000347739,1,1390636864,3913508.029
Dairy63,Green 918,Healthy,7/21/20,74,102.3,1.45,0,0,0,0,1,2843.33,0.917640699,1,255.1921139,0.082359301,0,0,0,1,303921189.9,3098.522114
Dairy64,Orange 106,Healthy,8/12/20,43.71,103.1,0.7,5,0,0,0,1,684962.89,0.999517624,1,330.5692253,0.000482376,1,7870.03,0.011484175,1,367019824.6,685293.4592
Dairy65,Orange 11,BRD,8/12/20,43.71,106.3,0.7,5,0,0,0,1,1988.9,0.931793408,1,145.5854977,0.068206349,1,236277.83,110.6954218,1,455582882.2,2134.486017
Dairy66,Orange 110,Healthy,8/26/20,80.29,103.4,0.74,2,1,248588.19,0.18179981,1,1118586.26,0.81805483,1,198.7608178,0.00014536,1,29664.32,0.021694384,1,258866838.4,1367373.211
Dairy67,Orange 118,BRD,8/26/20,80.29,104.2,0.74,6,1,1051721.4,0.933761994,1,74442.89,0.066093493,1,162.768203,0.000144512,1,11910.04,0.010574229,1,91600579.32,1126327.058
Dairy68,Orange 16,BRD,7/14/20,72.71,104.6,0.62,3,1,1593.56,0.01556337,1,100551.57,0.982028491,1,246.5729598,0.002408134,1,138342.99,1.351115231,1,296862708.7,102391.7034
Dairy69,Orange 205,BRD,9/30/20,54.88,104.1,0.755,6,0,0,0,1,198768.65,0.998628216,1,273.0421736,0.001371784,0,0,0,1,120850227.1,199041.6922
Dairy70,Orange 220,Healthy,8/26/20,80.29,102.7,0.61,3,1,398414.27,0.231716222,1,1320834.78,0.768192476,1,156.985439,9.13E-05,1,1202.99,0.000699654,1,37935904.73,1719406.035
Dairy71,Orange 234,Healthy,9/30/20,54.88,102.7,0.71,4,0,0,0,1,150152.99,0.99865615,1,202.0546333,0.00134385,1,1909.35,0.012698942,1,102927528.2,150355.0447
Dairy72,Orange 241,BRD,8/26/20,80.29,102.7,0.61,3,1,2191376.84,0.31095089,1,4855747.57,0.689018429,1,216.2204045,3.07E-05,1,6225.35,0.000883362,1,218284274.4,7047340.63
Dairy73,Orange 246,Healthy,9/30/20,54.88,103.1,0.71,6,1,2101.02,0.01654458,1,124645.62,0.981527754,1,244.7969631,0.001927665,1,4042.05,0.031829311,1,36472842.95,126991.4371
Dairy74,Orange 248,BRD,9/10/20,62.08,103.6,0.65,4,1,120327.85,0.279893805,1,309396.41,0.719684914,1,181.1110581,0.000421281,1,2317.72,0.005391233,1,371914405,429905.3711
Dairy75,Orange 253,Healthy,8/26/20,80.29,103.5,0.61,1,1,3600.62,0.004429202,1,809086.21,0.995274713,1,240.6944521,0.000296084,1,585098.6,0.719742636,1,453906252.9,812927.5257
Dairy76,Orange 26,Healthy,7/14/20,72.71,102.5,0.62,3,0,0,0,1,105561.86,0.997679173,1,245.5607528,0.002320827,0,0,0,1,25236953.66,105807.4208
Dairy77,Orange 262,BRD,8/26/20,80.29,105.2,0.61,2,1,1072691.12,0.251060971,1,3199784.63,0.748902475,1,156.183973,3.66E-05,1,32183.41,0.007532456,1,588721469.9,4272631.934
Dairy78,Orange 282,BRD,8/26/20,80.29,102.9,0.61,3,1,213266.99,0.584521952,1,151424.54,0.415024227,1,165.5795449,0.00045382,1,10000.42,0.027409141,1,123891960.5,364857.1096
Dairy79,Orange 293,BRD,9/10/20,62.08,103,0.65,4,0,0,0,1,964127.51,0.999820477,1,173.1143018,0.000179523,1,1649.16,0.001710214,1,475833620.5,964300.6243
Dairy80,Orange 311,Healthy,9/10/20,62.08,103.1,0.65,4,1,30398.87,0.022748633,1,1305737.8,0.97713337,1,157.6762962,0.000117995,1,132025.09,0.098799408,1,77687626.79,1336294.348
Dairy81,Orange 327,Healthy,9/30/20,54.88,102.9,0.71,6,1,1476.37,0.000692449,1,2130416.96,0.999211039,1,205.7725898,9.65E-05,1,1129.52,0.000529769,1,236110018.1,2132099.103
Dairy82,Orange 361,Healthy,8/26/20,80.29,103.3,0.61,1,1,1596581.26,0.860955734,1,257675.94,0.138951636,1,171.7756373,9.26E-05,0,0,0,1,32998602.79,1854428.976
Dairy83,Orange 4,Healthy,7/14/20,72.71,102.6,0.62,3,1,1436.48,0.002276453,1,629372.48,0.997394022,1,207.935736,0.000329525,1,71838.68,0.11384589,1,228053833.4,631016.8961
Dairy84,Orange 425,Healthy,8/26/20,80.29,104.1,0.61,3,1,5126487.52,0.887058722,1,652558.35,0.112915046,1,151.5956191,2.62E-05,1,2501.82,0.000432901,1,306620962.9,5779197.466
Dairy85,Orange 466,BRD,8/26/20,80.29,103.4,0.61,1,1,127423.12,0.065612948,1,1814340.66,0.934243637,1,278.5104624,0.000143411,1,302936.23,0.155988482,1,36200481.6,1942042.299
Dairy86,Orange 489,Healthy,8/26/20,80.29,103.4,0.61,2,0,0,0,1,9171865.19,0.999983877,1,147.880065,1.61E-05,1,11241.7,0.001225652,1,92030483.48,9172013.07
Dairy87,Orange 505,BRD,9/30/20,54.88,103.6,0.645,3,1,15100.97,0.003437074,1,4378303.1,0.996528708,1,150.3410108,3.42E-05,1,83742.01,0.019060196,1,116272199.7,4393554.412
Dairy88,Orange 519,BRD,7/21/20,74,104.7,0.45,0,0,0,0,1,121768.52,1,0,0,0,0,0,0,1,4967512471,121768.52
Dairy89,Orange 534,Healthy,9/30/20,54.88,102.9,0.645,3,0,0,0,0,0,0,1,282.499582,1,0,0,0,1,30016392.27,282.499582
Dairy90,Orange 549,Healthy,9/30/20,54.88,103,0.645,3,1,2897.65,0.028009183,1,100383.67,0.970325816,1,172.2502225,0.001665,1,1086.58,0.010503069,1,73610460.98,103453.5702
Dairy91,Orange 577,Healthy,10/14/20,57.63,102.7,0.68,6,0,0,0,1,270527.75,0.99929164,1,191.7660631,0.000708357,1,259762.5,0.959526314,1,330885647.5,270719.5168
Dairy92,Orange 581,BRD,10/14/20,57.63,103.4,0.68,6,1,375215.66,0.985428561,1,5386.99,0.014147847,1,161.2884706,0.000423592,0,0,0,1,302944388.9,380763.9385
Dairy93,Orange 587,BRD,10/14/20,57.63,104.7,0.68,6,0,0,0,1,284969.92,0.999225295,1,220.9378568,0.000774702,1,71410.03,0.250393825,1,86543268.47,285190.8587
Dairy94,Orange 6,BRD,8/19/20,66.25,103.2,0.72,5,0,0,0,1,68743.71,0.995476829,1,312.3523974,0.004523171,0,0,0,1,413587557.1,69056.0624
Dairy95,Orange 604,BRD,9/10/20,62.08,104.6,0.72,3,1,6469690.98,0.991596056,1,54684.94,0.008381447,1,146.7861817,2.25E-05,1,1400380.05,0.214633332,1,1.54E+11,6524522.706
Dairy96,Orange 605,Healthy,9/10/20,62.08,103.4,0.72,3,1,60620.1,0.036675079,1,1592073.67,0.963202426,1,202.4553821,0.000122485,1,6575646.15,3.978257065,1,411855875.3,1652896.241
Dairy97,Orange 606,Healthy,9/10/20,62.08,102.8,0.72,3,1,56135.78,0.723540045,1,21244.72,0.273825458,1,204.3211934,0.002633518,1,3514604.57,45.30011251,1,46275074.56,77584.89714
Dairy98,Orange 607,BRD,9/10/20,62.08,102.5,0.72,3,1,4794374.55,0.345163156,1,9095662.37,0.654827339,1,132.0240903,9.50E-06,1,3120351.71,0.224644619,1,3584980954,13890168.94
Dairy99,Orange 628,Healthy,10/14/20,57.63,103.3,0.68,6,0,0,0,1,152569.28,0.998629914,1,209.3198544,0.001370086,0,0,0,1,226090677.5,152778.5999
Dairy100,Orange 63,BRD,9/10/20,62.08,103.2,0.78,8,0,0,0,1,522555.88,0.999480465,1,271.6233781,0.000519528,1,373529.92,0.714441981,1,96357275.04,522827.5073
