ID,BRD,Date/Collection,Ave.temp,Temp,Age,PenCode,MbPre_Abs,Mbovis_copies,PmPres_Abs,Pm_copies,HsPres_Abs,Hs_copies,MhPres_Abs,Mh_copies,16SPres_Abs,16S_copies
Dairy107,BRD,9/30/20,54.88,103.9,0.645,2,1,38122.42,1,745112.84,1,179.5471622,1,59143.09,1,160391990.1
Dairy108,Healthy,10/14/20,57.63,105.4,0.68,5,0,0,1,48940,1,224.6199469,0,0,1,2.61E+11
Dairy109,Healthy,11/11/20,40,102.9,0.76,4,0,0,1,18606.61,1,214.6936017,0,0,1,10689216.52
Dairy110,BRD,12/2/20,33.04,104,0.71,8,0,0,1,713149.39,1,175.5897694,0,0,1,56378457.97
Dairy111,BRD,8/19/20,66.25,103.8,0.72,6,1,1709.37,1,265841.05,1,343.0467673,1,10638.78,1,50917761.81
Dairy112,Healthy,11/11/20,40,103.8,0.65,6,1,25732.07,1,97683.52,1,316.5819794,0,0,1,350946213.4
Dairy113,BRD,11/18/20,40.08,104.8,0.67,5,1,1656073.14,1,8437.3,1,161.912657,1,11232.11,1,1064023600
Dairy114,BRD,11/11/20,40,104.4,0.65,6,1,381594.35,1,1395735.33,1,185.6748464,1,455054.29,1,78215574.15
Dairy115,Healthy,8/12/20,43.71,102.7,0.7,6,1,1281.56,1,927044.95,1,236.9014185,1,315690.25,1,96727958.04
Dairy116,BRD,12/2/20,33.04,104.9,0.71,9,1,2921358.17,1,676947.27,1,145.3247845,1,12282.34,1,831889037.2
Dairy117,Healthy,11/11/20,40,103.2,0.65,4,1,5703630.26,1,525121.8,1,217.0833412,0,0,1,408908380.3
Dairy118,Healthy,12/2/20,33.04,102.5,0.71,8,1,38721.23,1,17723.57,1,213.5810463,1,31103.97,1,19688076.92
Dairy119,Healthy,11/18/20,40.08,102.9,0.67,5,1,104715.7,1,1424037.36,1,180.0957694,1,5842.32,1,104566185.7
Dairy120,Healthy,8/12/20,43.71,103.2,0.7,6,0,0,1,500311.31,1,318.9289339,1,19990.83,1,65978606.24
Dairy121,Healthy,11/4/20,60.5,102.9,0.63,5,1,2452.8,1,103063.24,1,199.3779342,1,131349.38,1,260220433
Dairy122,Healthy,12/2/20,33.04,104.9,0.71,9,0,0,1,50287.75,1,242.6437631,0,0,1,78315943.44
Dairy123,BRD,11/18/20,40.08,105.8,0.67,5,0,0,1,3886219.01,1,247.0394457,1,95611.07,1,335480067.9
Dairy124,Healthy,11/11/20,40,104,0.65,6,1,18682.54,1,405669.4,1,178.5679574,1,78951.89,1,38502304.75
Dairy125,BRD,12/2/20,33.04,103.8,0.71,8,1,567058.28,1,2166153.21,1,171.057307,1,289012.63,1,620933353.5
Dairy126,Healthy,12/2/20,33.04,103,0.71,9,0,0,1,5906938.45,1,149.7117941,1,275.92,1,1148807162
Dairy127,BRD,11/4/20,60.5,105.1,0.63,5,1,15433.43,1,153948.25,1,231.4329744,1,28053.13,1,151065545.1
Dairy128,Healthy,12/2/20,33.04,102,0.71,8,1,404403.34,1,2369156.12,1,237.0423737,0,0,1,88328042.68
Dairy129,BRD,11/11/20,40,104.8,0.65,6,1,402762.87,1,215157.25,1,157.2531457,1,23456.38,1,35660454.22
Dairy130,BRD,12/2/20,33.04,102.7,0.33,10,1,56555.5,1,66724.09,1,105.0305963,0,0,1,1.50E+12
Dairy131,BRD,8/12/20,43.71,103.5,1.15,10,0,0,1,66132.71,1,138.47772,0,0,1,24431129.62
Dairy132,BRD,8/12/20,43.71,103.3,1,10,1,80488.96,1,149695.99,1,172.4254477,1,9236.69,1,106366196.9
Dairy133,BRD,7/21/20,74,104,0.82,11,1,74300.74,1,148028.33,1,185.2178899,1,50034.94,1,9405954.64
